"filename", "language", "XML", "C#", "comment", "blank", "total"
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Components\Camera.cs", "C#", 0, 90, 0, 23, 113
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Components\DirectionalLight.cs", "C#", 0, 56, 0, 11, 67
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Components\ObjLoader.cs", "C#", 0, 79, 0, 13, 92
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Components\Primitives.cs", "C#", 0, 165, 0, 41, 206
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Components\Scene.cs", "C#", 0, 24, 0, 5, 29
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Core\FrameBuffer.cs", "C#", 0, 27, 0, 5, 32
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Core\Renderer.cs", "C#", 0, 380, 0, 82, 462
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Core\ShaderStructs.cs", "C#", 0, 21, 0, 2, 23
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Core\ShadowMap.cs", "C#", 0, 22, 0, 4, 26
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Core\Window.cs", "C#", 0, 104, 0, 27, 131
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Defaults\DefaultShaders.cs", "C#", 0, 33, 0, 4, 37
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Defaults\LightingCalculator.cs", "C#", 0, 56, 0, 11, 67
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Defaults\VertexCalculator.cs", "C#", 0, 29, 0, 2, 31
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Math\Matrix4x4.cs", "C#", 0, 161, 0, 30, 191
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Math\Quaternion.cs", "C#", 0, 40, 0, 7, 47
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Math\Vector2.cs", "C#", 0, 47, 0, 15, 62
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Math\Vector3.cs", "C#", 0, 56, 0, 16, 72
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Math\Vector4.cs", "C#", 0, 77, 0, 17, 94
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Objects\Color.cs", "C#", 0, 41, 0, 11, 52
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Objects\Mesh.cs", "C#", 0, 38, 0, 7, 45
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Objects\Texture.cs", "C#", 0, 45, 0, 5, 50
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Objects\Triangle.cs", "C#", 0, 24, 0, 2, 26
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Objects\Vertex.cs", "C#", 0, 18, 0, 2, 20
"c:\Users\ryder\source\repos\Graphics\Graphics\Graphics.csproj", "XML", 7, 0, 0, 3, 10
"c:\Users\ryder\source\repos\Graphics\Graphics\Program.cs", "C#", 0, 68, 0, 10, 78
"Total", "-", 7, 1701, 0, 355, 2063
