"filename", "language", "C++", "C#", "XML", "comment", "blank", "total"
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Components\Camera.cs", "C#", 0, 96, 0, 0, 22, 118
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Components\DirectionalLight.cs", "C#", 0, 46, 0, 1, 11, 58
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Components\ObjLoader.cs", "C#", 0, 78, 0, 0, 13, 91
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Components\Primitives.cs", "C#", 0, 164, 0, 0, 41, 205
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Components\Scene.cs", "C#", 0, 24, 0, 0, 5, 29
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Core\FrameBuffer.cs", "C#", 0, 17, 0, 0, 5, 22
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Core\Renderer.cs", "C#", 0, 447, 0, 12, 90, 549
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Core\ShaderStructs.cs", "C#", 0, 21, 0, 0, 2, 23
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Core\ShadowMap.cs", "C#", 0, 17, 0, 0, 4, 21
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Core\Window.cs", "C#", 0, 205, 0, 3, 46, 254
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Defaults\DefaultShaders.cs", "C#", 0, 33, 0, 0, 5, 38
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Defaults\LightingCalculator.cs", "C#", 0, 54, 0, 0, 10, 64
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Defaults\VertexCalculator.cs", "C#", 0, 28, 0, 0, 2, 30
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Math\Matrix4x4.cs", "C#", 0, 142, 0, 0, 19, 161
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Math\Quaternion.cs", "C#", 0, 40, 0, 0, 7, 47
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Math\Vector2.cs", "C#", 0, 43, 0, 0, 13, 56
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Math\Vector3.cs", "C#", 0, 52, 0, 0, 14, 66
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Math\Vector4.cs", "C#", 0, 77, 0, 0, 17, 94
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Objects\Color.cs", "C#", 0, 40, 0, 0, 11, 51
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Objects\Mesh.cs", "C#", 0, 38, 0, 0, 7, 45
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Objects\Texture.cs", "C#", 0, 58, 0, 1, 8, 67
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Objects\Triangle.cs", "C#", 0, 24, 0, 0, 2, 26
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Objects\Vertex.cs", "C#", 0, 17, 0, 0, 1, 18
"c:\Users\ryder\source\repos\Graphics\Graphics\Graphics.csproj", "XML", 0, 0, 8, 0, 3, 11
"c:\Users\ryder\source\repos\Graphics\Graphics\Program.cs", "C#", 0, 65, 0, 0, 11, 76
"c:\Users\ryder\source\repos\Graphics\Graphics_Native\Engine\Components\Camera.h", "C++", 95, 0, 0, 0, 12, 107
"c:\Users\ryder\source\repos\Graphics\Graphics_Native\Engine\Components\DirectionalLight.h", "C++", 39, 0, 0, 0, 8, 47
"c:\Users\ryder\source\repos\Graphics\Graphics_Native\Engine\Components\Scene.h", "C++", 9, 0, 0, 0, 3, 12
"c:\Users\ryder\source\repos\Graphics\Graphics_Native\Engine\Core\FrameBuffer.h", "C++", 16, 0, 0, 0, 5, 21
"c:\Users\ryder\source\repos\Graphics\Graphics_Native\Engine\Core\Renderer.cpp", "C++", 71, 0, 0, 0, 12, 83
"c:\Users\ryder\source\repos\Graphics\Graphics_Native\Engine\Core\Renderer.h", "C++", 102, 0, 0, 0, 21, 123
"c:\Users\ryder\source\repos\Graphics\Graphics_Native\Engine\Core\Renderer.inl", "C++", 196, 0, 0, 0, 39, 235
"c:\Users\ryder\source\repos\Graphics\Graphics_Native\Engine\Core\ShaderStructs.h", "C++", 20, 0, 0, 0, 3, 23
"c:\Users\ryder\source\repos\Graphics\Graphics_Native\Engine\Core\ShadowMap.h", "C++", 16, 0, 0, 0, 5, 21
"c:\Users\ryder\source\repos\Graphics\Graphics_Native\Engine\Math\Matrix4x4.h", "C++", 103, 0, 0, 0, 19, 122
